Activity ID,Activity Status,WBS Code,(*)WBS Path,(*)WBS Name,Activity Name,(*)Physical % Complete(%),(*)Early Start,(*)BL Project Start,(*)BL Project Finish,(*)Late Start,(*)Early Finish,(*)Late Finish,(*)Start,(*)Finish,(*)Expected Finish,Actual Start,Actual Finish,Original Duration(d),Remaining Duration(d),(*)Activity Type,Start of Month,JJ_MAC_S16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ.00.JJ.162401,Not Started,JJ_JJ_JJ2024_20.JJ.10.24.FF,JJ.7.24.FF,FIT FOR FID,Name 1,0,,,,,31/05/2024,18/02/2042,,31/05/2024,,,,0,0,Finish Milestone,01/03/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ.00.JJ.162402,Not Started,JJ_JJ_JJ2024_20.JJ.10.24.FF,JJ.7.24.FF,FIT FOR FID,Name 2,0,,,,,28/06/2024,18/02/2042,,28/06/2024,,,,0,0,Finish Milestone,01/03/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ.00.JJ.162403,Not Started,JJ_JJ_JJ2024_20.JJ.10.24.FF,JJ.7.24.FF,FIT FOR FID,Name 3,0,,,,,28/06/2024,18/02/2042,,28/06/2024,,,,0,0,Finish Milestone,01/03/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ.00.JJ.162404,Not Started,JJ_JJ_JJ2024_20.JJ.10.24.FF,JJ.7.24.FF,FIT FOR FID,Name 4,0,,,,,25/10/2024,18/02/2042,,25/10/2024,,,,0,0,Finish Milestone,01/03/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ.00.JJ.162405,Not Started,JJ_JJ_JJ2024_20.JJ.10.24.SR,JJ.7.24.SR,SUPPLIERS READY,Name 5,0,,,,,31/05/2024,18/02/2042,,31/05/2024,,,,0,0,Finish Milestone,01/03/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ.00.JJ.162406,Not Started,JJ_JJ_JJ2024_20.JJ.10.24.SR,JJ.7.24.SR,SUPPLIERS READY,Name 6,0,,,,,28/06/2024,18/02/2042,,28/06/2024,,,,0,0,Finish Milestone,01/03/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ.00.JJ.162407,Not Started,JJ_JJ_JJ2024_20.JJ.10.24.SR,JJ.7.24.SR,SUPPLIERS READY,Name 7,0,,,,,28/06/2024,18/02/2042,,28/06/2024,,,,0,0,Finish Milestone,01/03/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ.00.JJ.162408,Not Started,JJ_JJ_JJ2024_20.JJ.10.24.SR,JJ.7.24.SR,SUPPLIERS READY,Name 8,0,,,,,28/06/2024,18/02/2042,,28/06/2024,,,,0,0,Finish Milestone,01/03/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ.00.JJ.162409,Not Started,JJ_JJ_JJ2024_20.JJ.10.24.DY,JJ.7.24.DY,DELIVERY,Name 9,0,,,,,26/04/2024,18/02/2042,,26/04/2024,,,,0,0,Finish Milestone,01/03/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ.00.JJ.162410,Not Started,JJ_JJ_JJ2024_20.JJ.10.24.DY,JJ.7.24.DY,DELIVERY,Name 10,0,,,,,31/05/2024,18/02/2042,,31/05/2024,,,,0,0,Finish Milestone,01/03/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
